8.9856 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([1., 1., 1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113139c90>, multiSample=False, name='window1', numSamples=2, pos=[-840, -525], screen=0, size=array([3360, 2100]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
8.9856 	EXP 	window1: recordFrameIntervals = False
9.1511 	EXP 	window1: recordFrameIntervals = True
9.3348 	EXP 	window1: recordFrameIntervals = False
9.3366 	EXP 	Created image = ImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([-100.,    0.]), size=array([1., 1.]), texRes=128, units='pix', win=Window(...))
9.4182 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0.2, 0. ]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
9.4250 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
9.4313 	EXP 	Imported images.xlsx as conditions, 13 conditions, 3 params
9.4317 	EXP 	Created sequence: random, trialTypes=13, nReps=5, seed=None
9.4320 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'images', u'images/bacon.jpg'), (u'name', u'bacon'), (u'corrAns', u'z')])
9.6821 	EXP 	image: image = u'images/bacon.jpg'
9.6821 	EXP 	image: size = array([300., 300.])
9.6821 	EXP 	text: text = u'bacon'
9.6821 	EXP 	image: autoDraw = True
9.6821 	EXP 	text: autoDraw = True
10.1063 	DATA 	Keypress: z
10.3768 	EXP 	window1: mouseVisible = True
